,Date,open,high,low,close,V,Hour
0,2018-10-11 10:00:00,31700,31728,31700,31718,30,10
1,2018-10-11 11:00:00,31718,31724,31705,31716,3,11
2,2018-10-11 12:00:00,31716,31797,31716,31795,7,12
3,2018-10-11 13:00:00,31795,31795,31673,31740,2,13
4,2018-10-11 14:00:00,31740,31800,31740,31800,2,14
5,2018-10-11 15:00:00,31800,31884,31800,31884,33,15
6,2018-10-11 16:00:00,31884,31905,31836,31842,11,16
7,2018-10-11 17:00:00,31842,31875,31842,31855,3,17
8,2018-10-11 18:00:00,31855,31977,31855,31890,64,18
9,2018-10-11 19:00:00,31890,31998,31890,31998,18,19
10,2018-10-11 20:00:00,31998,32200,31994,32110,93,20
11,2018-10-11 21:00:00,32110,32206,32110,32145,24,21
12,2018-10-11 22:00:00,32145,32224,32120,32220,59,22
13,2018-10-11 23:00:00,32220,32229,32187,32205,102,23
14,2018-10-12 10:00:00,32115,32116,32051,32077,28,10
15,2018-10-12 11:00:00,32077,32115,32077,32082,13,11
16,2018-10-12 12:00:00,32082,32112,32045,32112,36,12
17,2018-10-12 13:00:00,32112,32112,32010,32016,10,13
18,2018-10-12 14:00:00,32016,32022,32016,32022,1,14
19,2018-10-12 15:00:00,32022,32102,32022,32102,1,15
20,2018-10-12 16:00:00,32102,32102,32066,32066,1,16
21,2018-10-12 17:00:00,32066,32100,32066,32089,6,17
22,2018-10-12 18:00:00,32089,32134,32042,32098,29,18
23,2018-10-12 19:00:00,32098,32110,32050,32079,27,19
24,2018-10-12 20:00:00,32079,32079,31965,32047,46,20
25,2018-10-12 21:00:00,32047,32060,32042,32055,5,21
26,2018-10-12 22:00:00,32055,32092,32055,32070,8,22
27,2018-10-12 23:00:00,32070,32101,32070,32080,14,23
28,2018-10-15 10:00:00,32100,32220,32100,32220,32,10
29,2018-10-15 11:00:00,32220,32316,32220,32310,22,11
30,2018-10-15 12:00:00,32310,32430,32300,32430,30,12
31,2018-10-15 13:00:00,32430,32430,32375,32430,103,13
32,2018-10-15 14:00:00,32430,32530,32430,32510,97,14
33,2018-10-15 15:00:00,32510,32527,32500,32500,15,15
34,2018-10-15 16:00:00,32500,32500,32410,32413,9,16
35,2018-10-15 17:00:00,32413,32432,32396,32405,9,17
36,2018-10-15 18:00:00,32428,32428,32263,32344,50,18
37,2018-10-15 19:00:00,32344,32440,32344,32392,11,19
38,2018-10-15 20:00:00,32392,32392,32322,32327,9,20
39,2018-10-15 21:00:00,32327,32359,32327,32359,9,21
40,2018-10-15 22:00:00,32359,32359,32359,32359,0,22
41,2018-10-15 23:00:00,32359,32359,32295,32322,15,23
42,2018-10-16 10:00:00,32324,32353,32320,32345,52,10
43,2018-10-16 11:00:00,32345,32362,32340,32362,14,11
44,2018-10-16 12:00:00,32362,32369,32308,32316,20,12
45,2018-10-16 13:00:00,32316,32334,32308,32329,32,13
46,2018-10-16 14:00:00,32329,32331,32271,32297,10,14
47,2018-10-16 15:00:00,32297,32330,32273,32287,25,15
48,2018-10-16 16:00:00,32287,32315,32250,32250,31,16
49,2018-10-16 17:00:00,32250,32266,32210,32238,17,17
50,2018-10-16 18:00:00,32238,32309,32181,32196,19,18
51,2018-10-16 19:00:00,32196,32267,32196,32267,6,19
52,2018-10-16 20:00:00,32267,32267,32192,32192,7,20
53,2018-10-16 21:00:00,32192,32192,32139,32162,25,21
54,2018-10-16 22:00:00,32162,32188,32139,32143,35,22
55,2018-10-16 23:00:00,32143,32160,32120,32120,57,23
56,2018-10-17 10:00:00,32100,32100,32043,32062,90,10
57,2018-10-17 11:00:00,32062,32112,32045,32087,21,11
58,2018-10-17 12:00:00,32087,32120,32087,32120,3,12
59,2018-10-17 13:00:00,32120,32140,32120,32140,7,13
60,2018-10-17 14:00:00,32140,32200,32140,32200,14,14
61,2018-10-17 15:00:00,32200,32236,32200,32221,3,15
62,2018-10-17 16:00:00,32221,32244,32221,32244,3,16
63,2018-10-17 17:00:00,32244,32267,32209,32209,20,17
64,2018-10-17 18:00:00,32209,32251,32208,32208,9,18
65,2018-10-17 19:00:00,32208,32249,32179,32248,16,19
66,2018-10-17 20:00:00,32248,32248,32190,32190,5,20
67,2018-10-17 21:00:00,32190,32190,32151,32151,3,21
68,2018-10-17 22:00:00,32151,32167,32100,32131,8,22
69,2018-10-17 23:00:00,32131,32146,32101,32110,18,23
70,2018-10-18 17:00:00,32164,32171,32163,32171,3,17
71,2018-10-18 18:00:00,32171,32171,32101,32124,8,18
72,2018-10-18 19:00:00,32124,32215,32124,32215,5,19
73,2018-10-18 20:00:00,32215,32251,32184,32250,25,20
74,2018-10-18 21:00:00,32250,32351,32250,32300,128,21
75,2018-10-18 22:00:00,32300,32309,32300,32309,5,22
76,2018-10-18 23:00:00,32309,32340,32300,32330,5,23
77,2018-10-19 10:00:00,32200,32229,32195,32200,25,10
78,2018-10-19 11:00:00,32200,32221,32185,32212,20,11
79,2018-10-19 12:00:00,32212,32221,32135,32135,20,12
80,2018-10-19 13:00:00,32135,32181,32135,32171,5,13
81,2018-10-19 14:00:00,32171,32191,32171,32191,3,14
82,2018-10-19 15:00:00,32191,32214,32191,32211,7,15
83,2018-10-19 16:00:00,32211,32211,32115,32178,13,16
84,2018-10-19 17:00:00,32178,32190,32150,32190,5,17
85,2018-10-19 18:00:00,32190,32191,32169,32191,16,18
86,2018-10-19 19:00:00,32191,32200,32184,32186,12,19
87,2018-10-19 20:00:00,32186,32194,32150,32150,2,20
88,2018-10-19 21:00:00,32150,32180,32150,32180,13,21
89,2018-10-19 22:00:00,32180,32208,32180,32208,1,22
90,2018-10-19 23:00:00,32208,32208,32141,32177,7,23
91,2018-10-22 10:00:00,32162,32162,32100,32110,31,10
92,2018-10-22 11:00:00,32110,32110,32098,32104,8,11
93,2018-10-22 12:00:00,32104,32116,32093,32116,19,12
94,2018-10-22 13:00:00,32116,32116,32080,32080,7,13
95,2018-10-22 14:00:00,32080,32080,32050,32053,15,14
96,2018-10-22 15:00:00,32053,32101,32053,32100,2,15
97,2018-10-22 16:00:00,32100,32126,32100,32105,8,16
98,2018-10-22 17:00:00,32105,32116,32099,32105,4,17
99,2018-10-22 18:00:00,32105,32125,32099,32099,15,18
100,2018-10-22 19:00:00,32099,32099,32074,32074,4,19
101,2018-10-22 20:00:00,32074,32095,32070,32095,11,20
102,2018-10-22 21:00:00,32095,32150,32095,32146,9,21
103,2018-10-22 22:00:00,32146,32146,32141,32145,7,22
104,2018-10-22 23:00:00,32145,32171,32145,32164,27,23
105,2018-10-23 10:00:00,32200,32255,32200,32236,68,10
106,2018-10-23 11:00:00,32236,32300,32236,32299,17,11
107,2018-10-23 12:00:00,32299,32425,32299,32400,242,12
108,2018-10-23 13:00:00,32400,32470,32371,32470,39,13
109,2018-10-23 14:00:00,32470,32480,32436,32468,40,14
110,2018-10-23 15:00:00,32468,32468,32400,32400,16,15
111,2018-10-23 16:00:00,32400,32420,32400,32400,38,16
112,2018-10-23 17:00:00,32400,32510,32400,32479,48,17
113,2018-10-23 18:00:00,32479,32524,32479,32491,42,18
114,2018-10-23 19:00:00,32491,32500,32401,32401,24,19
115,2018-10-23 20:00:00,32401,32402,32358,32389,31,20
116,2018-10-23 21:00:00,32389,32389,32330,32333,18,21
117,2018-10-23 22:00:00,32333,32333,32261,32297,13,22
118,2018-10-23 23:00:00,32297,32335,32297,32332,5,23
119,2018-10-24 10:00:00,32241,32256,32204,32256,27,10
120,2018-10-24 11:00:00,32256,32274,32197,32197,7,11
121,2018-10-24 12:00:00,32197,32208,32182,32182,33,12
122,2018-10-24 13:00:00,32182,32200,32167,32196,40,13
123,2018-10-24 14:00:00,32196,32196,32142,32142,29,14
124,2018-10-24 15:00:00,32142,32170,32142,32160,30,15
125,2018-10-24 16:00:00,32160,32160,32100,32107,20,16
126,2018-10-24 17:00:00,32107,32138,32040,32138,36,17
127,2018-10-24 18:00:00,32138,32138,32120,32120,10,18
128,2018-10-24 19:00:00,32120,32205,32120,32177,35,19
129,2018-10-24 20:00:00,32177,32200,32140,32140,18,20
130,2018-10-24 21:00:00,32140,32162,32140,32162,2,21
131,2018-10-24 22:00:00,32162,32162,32131,32153,2,22
132,2018-10-24 23:00:00,32153,32170,32153,32170,25,23
133,2018-10-25 10:00:00,32330,32330,32307,32330,82,10
134,2018-10-25 11:00:00,32330,32350,32313,32328,5,11
135,2018-10-25 12:00:00,32328,32328,32220,32229,10,12
136,2018-10-25 13:00:00,32229,32237,32185,32237,30,13
137,2018-10-25 14:00:00,32237,32237,32182,32182,4,14
138,2018-10-25 15:00:00,32182,32182,32182,32182,0,15
139,2018-10-25 16:00:00,32182,32210,32182,32210,2,16
140,2018-10-25 17:00:00,32210,32210,32155,32155,2,17
141,2018-10-25 18:00:00,32155,32218,32155,32172,9,18
142,2018-10-25 19:00:00,32172,32190,32129,32165,25,19
143,2018-10-25 20:00:00,32165,32165,32100,32100,19,20
144,2018-10-25 21:00:00,32100,32161,32100,32161,6,21
145,2018-10-25 22:00:00,32161,32161,32138,32138,2,22
146,2018-10-25 23:00:00,32138,32138,32102,32102,30,23
147,2018-10-26 10:00:00,32200,32230,32200,32227,57,10
148,2018-10-26 11:00:00,32227,32248,32219,32230,25,11
149,2018-10-26 12:00:00,32230,32275,32198,32275,49,12
150,2018-10-26 13:00:00,32275,32310,32275,32300,109,13
151,2018-10-26 14:00:00,32310,32351,32310,32332,64,14
152,2018-10-26 15:00:00,32332,32332,32317,32317,1,15
153,2018-10-26 16:00:00,32317,32325,32281,32324,24,16
154,2018-10-26 17:00:00,32324,32350,32262,32262,32,17
