,Date,open,high,low,close,V,Hour
0,2018-10-11 10:00:00,31700,31716,31700,31716,26,10
1,2018-10-11 10:15:00,31716,31716,31716,31716,0,10
2,2018-10-11 10:30:00,31716,31716,31716,31716,0,10
3,2018-10-11 10:45:00,31716,31728,31716,31718,4,10
4,2018-10-11 11:00:00,31718,31724,31718,31724,1,11
5,2018-10-11 11:15:00,31724,31724,31724,31724,0,11
6,2018-10-11 11:30:00,31724,31724,31724,31724,0,11
7,2018-10-11 11:45:00,31724,31724,31705,31716,2,11
8,2018-10-11 12:00:00,31716,31716,31716,31716,0,12
9,2018-10-11 12:15:00,31716,31748,31716,31735,2,12
10,2018-10-11 12:30:00,31735,31797,31735,31797,3,12
11,2018-10-11 12:45:00,31797,31797,31790,31795,2,12
12,2018-10-11 13:00:00,31795,31795,31795,31795,0,13
13,2018-10-11 13:15:00,31795,31795,31673,31673,1,13
14,2018-10-11 13:30:00,31673,31673,31673,31673,0,13
15,2018-10-11 13:45:00,31673,31740,31673,31740,1,13
16,2018-10-11 14:00:00,31740,31740,31740,31740,0,14
17,2018-10-11 14:15:00,31740,31740,31740,31740,0,14
18,2018-10-11 14:30:00,31740,31740,31740,31740,0,14
19,2018-10-11 14:45:00,31740,31800,31740,31800,2,14
20,2018-10-11 15:00:00,31800,31866,31800,31856,9,15
21,2018-10-11 15:15:00,31856,31866,31840,31866,23,15
22,2018-10-11 15:30:00,31866,31884,31866,31884,1,15
23,2018-10-11 15:45:00,31884,31884,31884,31884,0,15
24,2018-10-11 16:00:00,31884,31901,31879,31901,6,16
25,2018-10-11 16:15:00,31901,31905,31892,31892,3,16
26,2018-10-11 16:30:00,31892,31892,31836,31836,1,16
27,2018-10-11 16:45:00,31836,31842,31836,31842,1,16
28,2018-10-11 17:00:00,31842,31842,31842,31842,0,17
29,2018-10-11 17:15:00,31842,31875,31842,31875,1,17
30,2018-10-11 17:30:00,31875,31875,31855,31855,2,17
31,2018-10-11 17:45:00,31855,31855,31855,31855,0,17
32,2018-10-11 18:00:00,31855,31930,31855,31926,32,18
33,2018-10-11 18:15:00,31926,31962,31926,31955,6,18
34,2018-10-11 18:30:00,31955,31977,31955,31970,25,18
35,2018-10-11 18:45:00,31970,31970,31890,31890,1,18
36,2018-10-11 19:00:00,31890,31937,31890,31937,2,19
37,2018-10-11 19:15:00,31937,31937,31937,31937,0,19
38,2018-10-11 19:30:00,31937,31937,31899,31925,2,19
39,2018-10-11 19:45:00,31925,31998,31914,31998,14,19
40,2018-10-11 20:00:00,31998,32053,31994,32050,16,20
41,2018-10-11 20:15:00,32050,32084,32039,32070,31,20
42,2018-10-11 20:30:00,32070,32200,32055,32171,19,20
43,2018-10-11 20:45:00,32171,32171,32086,32110,27,20
44,2018-10-11 21:00:00,32110,32205,32110,32205,10,21
45,2018-10-11 21:15:00,32205,32206,32170,32180,10,21
46,2018-10-11 21:30:00,32180,32181,32170,32170,2,21
47,2018-10-11 21:45:00,32170,32170,32145,32145,2,21
48,2018-10-11 22:00:00,32145,32145,32120,32142,12,22
49,2018-10-11 22:15:00,32142,32150,32140,32150,9,22
