,Date,open,high,low,close,V,Hour
0,2018-10-11 10:00:00,31700,31716,31700,31716,26,10
1,2018-10-11 10:30:00,31716,31728,31716,31718,4,10
2,2018-10-11 11:00:00,31718,31724,31718,31724,1,11
3,2018-10-11 11:30:00,31724,31724,31705,31716,2,11
4,2018-10-11 12:00:00,31716,31748,31716,31735,2,12
5,2018-10-11 12:30:00,31735,31797,31735,31795,5,12
6,2018-10-11 13:00:00,31795,31795,31673,31673,1,13
7,2018-10-11 13:30:00,31673,31740,31673,31740,1,13
8,2018-10-11 14:00:00,31740,31740,31740,31740,0,14
9,2018-10-11 14:30:00,31740,31800,31740,31800,2,14
10,2018-10-11 15:00:00,31800,31866,31800,31866,32,15
11,2018-10-11 15:30:00,31866,31884,31866,31884,1,15
12,2018-10-11 16:00:00,31884,31905,31879,31892,9,16
13,2018-10-11 16:30:00,31892,31892,31836,31842,2,16
14,2018-10-11 17:00:00,31842,31875,31842,31875,1,17
15,2018-10-11 17:30:00,31875,31875,31855,31855,2,17
16,2018-10-11 18:00:00,31855,31962,31855,31955,38,18
17,2018-10-11 18:30:00,31955,31977,31890,31890,26,18
18,2018-10-11 19:00:00,31890,31937,31890,31937,2,19
19,2018-10-11 19:30:00,31937,31998,31899,31998,16,19
20,2018-10-11 20:00:00,31998,32084,31994,32070,47,20
21,2018-10-11 20:30:00,32070,32200,32055,32110,46,20
22,2018-10-11 21:00:00,32110,32206,32110,32180,20,21
23,2018-10-11 21:30:00,32180,32181,32145,32145,4,21
24,2018-10-11 22:00:00,32145,32150,32120,32150,21,22
25,2018-10-11 22:30:00,32150,32224,32150,32220,38,22
26,2018-10-11 23:00:00,32220,32229,32187,32205,102,23
27,2018-10-12 10:00:00,32115,32116,32051,32051,9,10
28,2018-10-12 10:30:00,32051,32077,32051,32077,19,10
29,2018-10-12 11:00:00,32077,32115,32077,32115,10,11
30,2018-10-12 11:30:00,32115,32115,32082,32082,3,11
31,2018-10-12 12:00:00,32082,32082,32045,32046,24,12
32,2018-10-12 12:30:00,32046,32112,32046,32112,12,12
33,2018-10-12 13:00:00,32112,32112,32112,32112,0,13
34,2018-10-12 13:30:00,32112,32112,32010,32016,10,13
35,2018-10-12 14:00:00,32016,32022,32016,32022,1,14
36,2018-10-12 14:30:00,32022,32022,32022,32022,0,14
37,2018-10-12 15:00:00,32022,32022,32022,32022,0,15
38,2018-10-12 15:30:00,32022,32102,32022,32102,1,15
39,2018-10-12 16:00:00,32102,32102,32102,32102,0,16
40,2018-10-12 16:30:00,32102,32102,32066,32066,1,16
41,2018-10-12 17:00:00,32066,32100,32066,32092,4,17
42,2018-10-12 17:30:00,32092,32092,32089,32089,2,17
43,2018-10-12 18:00:00,32089,32134,32042,32042,6,18
44,2018-10-12 18:30:00,32042,32098,32042,32098,23,18
45,2018-10-12 19:00:00,32098,32110,32098,32110,1,19
46,2018-10-12 19:30:00,32110,32110,32050,32079,26,19
47,2018-10-12 20:00:00,32079,32079,32000,32005,15,20
48,2018-10-12 20:30:00,32005,32053,31965,32047,31,20
49,2018-10-12 21:00:00,32047,32060,32042,32060,3,21
50,2018-10-12 21:30:00,32060,32060,32051,32055,2,21
51,2018-10-12 22:00:00,32055,32085,32055,32085,1,22
52,2018-10-12 22:30:00,32085,32092,32063,32070,7,22
53,2018-10-12 23:00:00,32070,32101,32070,32080,14,23
54,2018-10-15 10:00:00,32100,32217,32100,32200,27,10
55,2018-10-15 10:30:00,32200,32220,32190,32220,5,10
56,2018-10-15 11:00:00,32220,32241,32220,32241,3,11
57,2018-10-15 11:30:00,32241,32316,32241,32310,19,11
58,2018-10-15 12:00:00,32310,32316,32300,32300,11,12
59,2018-10-15 12:30:00,32300,32430,32300,32430,19,12
60,2018-10-15 13:00:00,32430,32430,32400,32400,37,13
61,2018-10-15 13:30:00,32400,32430,32375,32430,66,13
62,2018-10-15 14:00:00,32430,32500,32430,32500,48,14
63,2018-10-15 14:30:00,32500,32530,32472,32510,49,14
64,2018-10-15 15:00:00,32510,32527,32500,32500,4,15
65,2018-10-15 15:30:00,32500,32503,32500,32500,11,15
66,2018-10-15 16:00:00,32500,32500,32476,32476,3,16
67,2018-10-15 16:30:00,32476,32476,32410,32413,6,16
68,2018-10-15 17:00:00,32413,32432,32396,32396,5,17
69,2018-10-15 17:30:00,32396,32406,32396,32405,4,17
70,2018-10-15 18:00:00,32428,32428,32400,32400,25,18
71,2018-10-15 18:30:00,32400,32400,32263,32344,25,18
72,2018-10-15 19:00:00,32344,32440,32344,32426,8,19
73,2018-10-15 19:30:00,32426,32426,32392,32392,3,19
74,2018-10-15 20:00:00,32392,32392,32360,32360,3,20
75,2018-10-15 20:30:00,32360,32360,32322,32327,6,20
76,2018-10-15 21:00:00,32327,32338,32327,32338,5,21
77,2018-10-15 21:30:00,32338,32359,32338,32359,4,21
78,2018-10-15 22:00:00,32359,32359,32359,32359,0,22
79,2018-10-15 22:30:00,32359,32359,32359,32359,0,22
80,2018-10-15 23:00:00,32359,32359,32295,32322,15,23
81,2018-10-16 10:30:00,32324,32353,32320,32345,52,10
82,2018-10-16 11:00:00,32345,32345,32340,32345,12,11
83,2018-10-16 11:30:00,32345,32362,32345,32362,2,11
84,2018-10-16 12:00:00,32362,32362,32362,32362,0,12
85,2018-10-16 12:30:00,32362,32369,32308,32316,20,12
86,2018-10-16 13:00:00,32316,32334,32308,32310,30,13
87,2018-10-16 13:30:00,32310,32329,32308,32329,2,13
88,2018-10-16 14:00:00,32329,32331,32307,32307,3,14
89,2018-10-16 14:30:00,32307,32307,32271,32297,7,14
90,2018-10-16 15:00:00,32297,32330,32273,32320,20,15
91,2018-10-16 15:30:00,32320,32325,32287,32287,5,15
92,2018-10-16 16:00:00,32287,32315,32287,32305,17,16
93,2018-10-16 16:30:00,32305,32305,32250,32250,14,16
94,2018-10-16 17:00:00,32250,32266,32250,32256,10,17
95,2018-10-16 17:30:00,32256,32263,32210,32238,7,17
96,2018-10-16 18:00:00,32238,32309,32238,32309,11,18
97,2018-10-16 18:30:00,32309,32309,32181,32196,8,18
98,2018-10-16 19:00:00,32196,32245,32196,32229,4,19
99,2018-10-16 19:30:00,32229,32267,32229,32267,2,19
100,2018-10-16 20:00:00,32267,32267,32229,32229,2,20
101,2018-10-16 20:30:00,32229,32229,32192,32192,5,20
102,2018-10-16 21:00:00,32192,32192,32139,32139,21,21
103,2018-10-16 21:30:00,32139,32170,32139,32162,4,21
104,2018-10-16 22:00:00,32162,32177,32162,32164,4,22
105,2018-10-16 22:30:00,32164,32188,32139,32143,31,22
106,2018-10-16 23:00:00,32143,32160,32120,32120,57,23
107,2018-10-17 10:00:00,32100,32100,32043,32068,79,10
108,2018-10-17 10:30:00,32068,32095,32060,32062,11,10
109,2018-10-17 11:00:00,32062,32066,32045,32066,11,11
110,2018-10-17 11:30:00,32066,32112,32066,32087,10,11
111,2018-10-17 12:00:00,32087,32120,32087,32120,3,12
112,2018-10-17 12:30:00,32120,32120,32120,32120,0,12
113,2018-10-17 13:00:00,32120,32120,32120,32120,0,13
114,2018-10-17 13:30:00,32120,32140,32120,32140,7,13
115,2018-10-17 14:00:00,32140,32200,32140,32200,13,14
116,2018-10-17 14:30:00,32200,32200,32200,32200,1,14
117,2018-10-17 15:00:00,32200,32236,32200,32236,2,15
118,2018-10-17 15:30:00,32236,32236,32221,32221,1,15
119,2018-10-17 16:00:00,32221,32221,32221,32221,0,16
120,2018-10-17 16:30:00,32221,32244,32221,32244,3,16
121,2018-10-17 17:00:00,32244,32267,32228,32231,8,17
122,2018-10-17 17:30:00,32231,32231,32209,32209,12,17
123,2018-10-17 18:00:00,32209,32220,32209,32220,2,18
