,Date,open,high,low,close,V,Hour
0,2018-12-11 10:00:00,31949,31985,31946,31977,285,10
1,2018-12-11 10:10:00,31977,31979,31950,31950,102,10
2,2018-12-11 10:20:00,31950,31960,31941,31941,66,10
3,2018-12-11 10:30:00,31941,31955,31939,31942,71,10
4,2018-12-11 10:40:00,31942,31953,31940,31948,81,10
5,2018-12-11 10:50:00,31948,31965,31913,31923,219,10
6,2018-12-11 11:00:00,31923,31938,31891,31905,191,11
7,2018-12-11 11:10:00,31905,31916,31873,31875,157,11
8,2018-12-11 11:20:00,31875,31890,31837,31847,241,11
9,2018-12-11 11:30:00,31847,31869,31807,31811,234,11
10,2018-12-11 11:40:00,31811,31811,31759,31781,397,11
11,2018-12-11 11:50:00,31781,31814,31781,31802,271,11
12,2018-12-11 12:00:00,31802,31830,31798,31828,168,12
13,2018-12-11 12:10:00,31828,31835,31823,31826,48,12
14,2018-12-11 12:20:00,31826,31826,31794,31798,83,12
15,2018-12-11 12:30:00,31798,31841,31795,31822,59,12
16,2018-12-11 12:40:00,31822,31849,31822,31842,30,12
17,2018-12-11 12:50:00,31842,31842,31812,31812,44,12
18,2018-12-11 13:00:00,31814,31814,31761,31769,219,13
19,2018-12-11 13:10:00,31769,31792,31740,31788,222,13
20,2018-12-11 13:20:00,31788,31802,31774,31798,180,13
21,2018-12-11 13:30:00,31798,31847,31798,31840,128,13
22,2018-12-11 13:40:00,31840,31842,31810,31813,55,13
23,2018-12-11 13:50:00,31813,31821,31807,31812,22,13
24,2018-12-11 14:00:00,31812,31817,31795,31816,65,14
25,2018-12-11 14:10:00,31816,31825,31807,31822,57,14
26,2018-12-11 14:20:00,31822,31841,31822,31840,165,14
27,2018-12-11 14:30:00,31840,31840,31820,31820,41,14
28,2018-12-11 14:40:00,31820,31820,31802,31815,30,14
29,2018-12-11 14:50:00,31815,31824,31800,31811,140,14
30,2018-12-11 15:00:00,31811,31827,31806,31815,69,15
31,2018-12-11 15:10:00,31815,31824,31803,31820,14,15
